Year,Industry,Volume_applied,volume_ML
2016,All other crops,657316.6699999999,657317.0
2016,Almonds,475383.35373835405,475383.0
2016,Cotton,1293247.85,1293248.0
2016,Fruit,348636.5407871732,348637.0
2016,Grapevines,451613.80000000005,451614.0
2016,Pastures - Grazing,973820.87607829,973821.0
2016,Pastures - Hay,431730.9768914709,431731.0
2016,Rice,298579.87,298580.0
2016,Vegetables,164329.61000000002,164330.0
2017,All other crops,406673.57262949937,406674.0
2017,Almonds,488205.5737336742,488206.0
2017,Cotton,2437691.253787747,2437691.0
2017,Fruit,304420.2160290291,304420.0
2017,Grapevines,393057.7,393058.0
2017,Pastures - Grazing,1014007.5037259018,1014008.0
2017,Pastures - Hay,371109.19168304733,371109.0
2017,Rice,935463.77,935464.0
2017,Vegetables,137480.05,137480.0
2018,All other crops,661513.5359477137,661514.0
2018,Almonds,532654.950066189,532655.0
2018,Cotton,2505049.8,2505050.0
2018,Fruit,330110.22235435306,330110.0
2018,Grapevines,430192.63,430193.0
2018,Pastures - Grazing,1250195.14786608,1250195.0
2018,Pastures - Hay,431117.47000000003,431117.0
2018,Rice,718129.77,718130.0
2018,Vegetables,140087.72,140088.0
2019,All other crops,593587.0883538849,593587.0
2019,Almonds,547221.3201070987,547221.0
2019,Cotton,1213071.01391962,1213071.0
2019,Fruit,315190.22242429864,315190.0
2019,Grapevines,419722.87795282225,419723.0
2019,Pastures - Grazing,809814.0278569062,809814.0
2019,Pastures - Hay,417041.12027209,417041.0
2019,Rice,67960.31994049999,67960.0
2019,Vegetables,92613.56406414999,92614.0
2020,All other crops,342788.5107176013,342789.0
2020,Almonds,533455.7029201998,533456.0
2020,Cotton,286365.49555863003,286365.0
2020,Fruit,317728.0446473673,317728.0
2020,Grapevines,410815.2805535629,410815.0
2020,Pastures - Grazing,532594.3296195827,532594.0
2020,Pastures - Hay,260605.91959147758,260606.0
2020,Rice,53475.769154,53476.0
2020,Vegetables,103595.72416812,103596.0
